,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
249,2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Design,Complete,2019-11-25,2020-04-28,2022-03-22,559432.0,349020.0,345417.0
250,2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Construction,In-Progress,2022-08-15,2024-08-13,,11930288.0,10674084.0,10106424.0
251,2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,"CM,F&E",In-Progress,2022-08-15,2024-08-13,,850799.0,70552.0,70360.0
252,2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-02-26,2024-06-25,2024-03-20,3455.0,1090.0,1090.0
253,2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-03-20,2024-09-13,2024-08-13,15545.0,4362.0,4362.0
254,2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2025-01-29,2026-01-28,,200361.0,203051.0,10726.0
255,2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2025-01-29,2026-01-28,,40876.0,27068.0,4673.0
260,2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-06-26,2023-10-25,2023-07-06,4065.0,1585.0,1585.0
261,2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-07-06,2024-01-03,2023-10-18,18290.0,6342.0,6342.0
262,2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-02-28,2024-12-23,,235742.0,219609.0,153423.0
263,2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-02-28,2024-12-23,,90709.0,72789.0,64468.0
271,2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,Complete,2021-06-14,2022-03-25,2022-01-31,0.0,22402.0,22402.0
272,2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,Complete,2022-01-31,2022-03-28,2022-04-04,60518.0,89611.0,80611.0
273,2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,In-Progress,2023-06-15,2024-03-15,,887607.0,552996.0,493415.0
274,2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",In-Progress,2023-06-15,2024-03-15,,201380.0,229118.0,215978.0
283,2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-03-28,2024-07-29,2024-04-16,5043.0,1889.0,1889.0
284,2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-04-16,2024-10-10,2024-09-25,22694.0,7555.0,7555.0
285,2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,292506.0,292506.0,3189.0
286,2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,54214.0,54214.0,4310.0
296,2,M033,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-06-06,2022-10-04,2022-09-07,6015.0,5634.0,5634.0
297,2,M033,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-09-07,2023-03-08,2023-03-08,27067.0,22535.0,22535.0
298,2,M033,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-11-03,2024-08-28,,348863.0,314096.0,138472.0
299,2,M033,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-11-03,2024-08-28,,181052.0,159704.0,116409.0
300,2,M033,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
301,2,M033,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,,,,0.0,0.0,0.0
302,2,M033,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
303,2,M033,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
313,2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Scope,Complete,2021-03-03,2021-07-16,2022-01-25,319430.0,369747.0,366958.0
314,2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Design,Complete,2022-01-25,2022-06-24,2022-05-10,1597150.0,1155066.0,1035575.0
315,2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Construction,In-Progress,2023-08-10,2026-02-04,,35935875.0,32801351.0,14562147.0
316,2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,"CM,F&E",In-Progress,2023-08-10,2026-02-04,,2237013.0,320501.0,320242.0
317,2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Scope,Complete,2020-03-12,2020-07-27,2021-06-08,0.0,33452.0,33452.0
318,2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Design,Complete,2021-06-15,2021-12-02,2022-01-12,48131.0,145488.0,93479.0
319,2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Construction,In-Progress,2022-07-22,2023-07-21,,705916.0,597304.0,424957.0
320,2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,"CM,F&E",In-Progress,2022-07-22,2023-07-21,,48131.0,70020.0,68981.0
321,2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Scope,Complete,2022-04-25,2022-12-08,2022-11-01,0.0,23281.0,23281.0
322,2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Design,Complete,2022-11-02,2023-03-02,2023-01-20,57089.0,79380.0,70380.0
323,2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Construction,In-Progress,2023-06-13,2024-03-13,,837309.0,713992.0,454900.0
324,2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,"CM,F&E",In-Progress,2023-06-13,2024-03-13,,150226.0,191139.0,178461.0
336,2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2019-06-27,2019-11-13,2020-02-11,172368.0,155911.0,154050.0
337,2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2020-02-11,2020-07-13,2021-05-14,860032.0,585804.0,539635.0
338,2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,2023-09-05,2026-01-01,,19194327.0,17257355.0,9663234.0
339,2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,2023-09-05,2026-01-01,,1221137.0,147775.0,147775.0
340,2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2024-03-27,2024-07-26,2024-04-16,4394.0,2011.0,2011.0
341,2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2024-04-16,2024-10-10,2024-09-25,19773.0,8044.0,8044.0
342,2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,,254849.0,254849.0,2460.0
343,2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,,47235.0,47235.0,4644.0
344,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,2023-02-14,2023-05-15,2023-06-27,0.0,11562.0,11562.0
345,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,25593.0,14031.0,2537.0
346,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,375357.0,435366.0,0.0
347,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,25593.0,29684.0,499.0
348,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
349,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
350,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
351,2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,142.0,142.0
356,2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,2019-07-17,2019-12-03,2020-01-23,129854.0,175675.0,170124.0
357,2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,2020-01-23,2020-06-23,2020-06-30,643030.0,607743.0,586109.0
358,2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,2022-02-28,2024-03-28,,13927885.0,13311757.0,11329384.0
359,2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2022-02-28,2024-03-28,,955827.0,417341.0,368560.0
360,2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-07-03,2023-11-01,2023-07-12,4335.0,1674.0,1674.0
361,2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-07-12,2024-01-09,2023-10-18,19510.0,6698.0,6698.0
362,2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-02-28,2024-12-23,,251458.0,225703.0,155732.0
363,2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-02-28,2024-12-23,,121417.0,102594.0,92545.0
371,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2019-12-18,2020-03-20,2020-03-16,27730.0,55997.0,55997.0
372,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2021-04-20,2021-10-21,2022-08-03,138650.0,362423.0,246593.0
373,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,2023-05-01,2024-10-21,,3119625.0,3529496.0,3307447.0
374,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,2023-05-01,2024-10-21,,194110.0,351803.0,346122.0
375,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Scope,Complete,2022-04-29,2022-09-14,2022-12-07,247331.0,326152.0,326142.0
376,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Design,Complete,2022-12-22,2023-05-25,2023-04-28,1236651.0,946869.0,800796.0
377,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Construction,In-Progress,2023-08-21,2026-02-15,,27824626.0,25024206.0,8966465.0
378,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,"CM,F&E",In-Progress,2023-08-21,2026-02-15,,1731310.0,418705.0,417191.0
387,2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,2023-12-12,2024-04-29,2024-07-19,61494.0,140645.0,135083.0
388,2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,2024-07-30,2025-01-02,2025-01-13,283966.0,189770.0,17108.0
389,2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,PNS,,,,4476167.0,4476167.0,13296.0
390,2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",PNS,,,,484391.0,484391.0,45475.0
391,2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2020-06-30,2020-10-29,2020-07-13,2081.0,6193.0,6193.0
392,2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2020-07-13,2021-01-07,2021-03-30,9363.0,24772.0,24772.0
393,2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2022-05-24,2023-03-19,,120678.0,116860.0,102313.0
394,2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2022-05-24,2023-03-19,,118762.0,157475.0,153049.0
401,2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Scope,Complete,2022-07-19,2024-01-22,2024-01-09,0.0,45275.0,39790.0
402,2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Design,Complete,2024-01-12,2024-05-30,2024-05-22,196308.0,127366.0,119627.0
403,2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Construction,PNS,,,,2879187.0,2879187.0,62028.0
404,2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,"CM,F&E",PNS,,,,196308.0,196308.0,74077.0
412,2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-07-20,2023-11-20,2023-08-10,4160.0,4833.0,4833.0
413,2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-08-10,2024-02-08,2023-12-13,18720.0,19334.0,19334.0
414,2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-05-27,2025-05-26,,241280.0,220457.0,110631.0
415,2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-05-27,2025-05-26,,124140.0,107817.0,93062.0
419,2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,2024-05-28,2024-10-11,2024-11-06,94892.0,136273.0,136273.0
420,2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,In-Progress,2024-11-18,2025-04-22,,457258.0,457258.0,13960.0
421,2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,,,,9729297.0,9729297.0,32594.0
422,2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,,,,797547.0,797547.0,30423.0
423,2,M104,I.S. 104 - MANHATTAN,SCA CIP,PARAPETS,Scope,Complete,2024-05-28,2024-10-11,2024-11-06,10188.0,10188.0,10188.0
424,2,M104,I.S. 104 - MANHATTAN,SCA CIP,PARAPETS,Design,Complete,2024-11-18,2025-04-22,2025-02-21,693.0,693.0,693.0
425,2,M104,I.S. 104 - MANHATTAN,SCA CIP,PARAPETS,Construction,PNS,,,,0.0,0.0,0.0
426,2,M104,I.S. 104 - MANHATTAN,SCA CIP,PARAPETS,"CM,F&E",PNS,,,,1830.0,1830.0,1830.0
427,2,M104,I.S. 104 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,2024-05-28,2024-10-11,2024-11-06,8224.0,8224.0,8224.0
428,2,M104,I.S. 104 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Design,Complete,2024-11-18,2025-04-22,2025-02-21,560.0,560.0,560.0
429,2,M104,I.S. 104 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Construction,PNS,,,,0.0,0.0,0.0
430,2,M104,I.S. 104 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,,,,1477.0,1477.0,1477.0
431,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
432,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Design,PNS,,,,6000.0,6000.0,0.0
433,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,88000.0,88000.0,0.0
434,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,6000.0,6000.0,0.0
435,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
436,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
437,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
438,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
439,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Scope,Complete,2021-04-06,2021-12-20,2021-11-03,0.0,25333.0,25333.0
440,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Design,Complete,2021-11-04,2022-03-10,2022-04-14,90524.0,95525.0,89559.0
441,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Construction,In-Progress,2024-08-07,2025-07-02,,1327691.0,1279565.0,63185.0
442,2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,"CM,F&E",In-Progress,2024-08-07,2025-07-02,,90524.0,143624.0,132149.0
448,2,M111,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-08-10,2023-12-12,2023-08-22,4480.0,3809.0,3809.0
449,2,M111,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-08-22,2024-02-21,2023-12-13,20160.0,15237.0,15237.0
450,2,M111,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-05-27,2025-05-26,,259840.0,237982.0,149164.0
451,2,M111,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-05-27,2025-05-26,,136012.0,118962.0,104814.0
457,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A INTERIOR SPACES,Scope,PNS,,,,0.0,0.0,0.0
458,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A INTERIOR SPACES,Design,PNS,,,,0.0,0.0,0.0
459,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A INTERIOR SPACES,Construction,PNS,,,,0.0,0.0,0.0
460,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A INTERIOR SPACES,"CM,F&E",PNS,,,,0.0,0.0,0.0
461,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY16 RESO A GREEN ROOF,Scope,Complete,2016-01-26,2016-06-09,2016-03-08,0.0,29585.0,29585.0
462,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY16 RESO A GREEN ROOF,Design,Complete,2016-05-18,2016-10-19,2019-05-17,30714.0,183531.0,183531.0
463,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY16 RESO A GREEN ROOF,Construction,PNS,,,,450471.0,2228830.0,0.0
464,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY16 RESO A GREEN ROOF,"CM,F&E",PNS,,,,30714.0,151966.0,27430.0
465,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,Scope,Complete,2021-04-09,2021-07-12,2021-07-28,0.0,18762.0,18762.0
466,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,Design,Complete,2021-08-09,2022-01-12,2022-08-08,45750.0,112731.0,82441.0
467,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,Construction,In-Progress,2024-09-16,2025-06-12,,671000.0,490876.0,0.0
468,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,"CM,F&E",In-Progress,2024-09-16,2025-06-12,,50755.0,52110.0,15535.0
469,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY25 RESO A INTERIOR SPACES,Scope,In-Progress,2025-02-05,2025-05-22,,0.0,305.0,305.0
470,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY25 RESO A INTERIOR SPACES,Design,PNS,,,,12000.0,11695.0,1220.0
471,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY25 RESO A INTERIOR SPACES,Construction,PNS,,,,176000.0,176000.0,0.0
472,2,M114,I.S. 114 - MANHATTAN,SCA CIP RESOA,FY25 RESO A INTERIOR SPACES,"CM,F&E",PNS,,,,12000.0,12000.0,0.0
477,2,M116,P.S. 116 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,Scope,Complete,2024-06-14,2024-10-31,2024-10-16,210564.0,186849.0,160372.0
478,2,M116,P.S. 116 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,Design,Complete,2024-11-08,2025-04-15,2025-03-28,975845.0,368276.0,368276.0
479,2,M116,P.S. 116 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,Construction,PNS,,,,15413788.0,15413788.0,91830.0
480,2,M116,P.S. 116 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,"CM,F&E",PNS,,,,1619605.0,1619605.0,64911.0
481,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Scope,Complete,2022-03-24,2022-06-22,2022-11-03,0.0,57149.0,56935.0
482,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Design,In-Progress,2023-11-17,2024-04-05,,55616.0,61322.0,40501.0
483,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,815708.0,815708.0,9244.0
484,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,55616.0,55616.0,17112.0
485,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,RESO A PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,2024-04-17,2024-07-18,2024-08-19,7715.0,7715.0,1950.0
486,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,RESO A PATH OF TRAVEL PLAYGROUND UPGRADE,Design,In-Progress,2024-08-19,2024-12-19,,25097.0,25097.0,7803.0
487,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,RESO A PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,,,,20292.0,20292.0,0.0
488,2,M116,P.S. 116 - MANHATTAN,SCA CIP RESOA,RESO A PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,3916.0,3916.0,3916.0
